item,veredito,detalhe
"um só fastlio_mapping",PASSOU,"1 processo(s) — localização"
"um só livox_ros_driver2_node",PASSOU,"1 processo(s) — driver do lidar"
"um só ros2 launch robot_moti",FALHOU,"2 processo(s) — a pilha"
"um só planner_server",PASSOU,"1 processo(s) — planner"
"nuvem em /livox/pontos",PASSOU,"10.3 Hz, 10661 pontos/quadro, frame `livox_frame`"
"TF odom → base_link",PASSOU,"(0.033, 0.020) — EMPURRE o robô e rode de novo: tem de mudar"
"TF base_link → livox_frame",PASSOU,"z = 0.420 m (trena: 0.42)"
"nuvem transformável p/ odom",PASSOU,"58/58 quadros (100%)"
"lifecycle planner_server",PASSOU,"active"
"lifecycle controller_server",PASSOU,"active"
"lifecycle bt_navigator",PASSOU,"active"
"lifecycle collision_monitor",PASSOU,"active"
"perfil SEM MAPA (decisão 015)",PASSOU,"sem map_server"
"local_costmap marcando",PASSOU,"138 células letais (0.35 m²), 80x80 @ 0.050"
"global_costmap marcando",PASSOU,"504 células letais (1.26 m²), 400x400 @ 0.050"
"/auto_vel_raw",PASSOU,"81 msgs em 4 s (0 não-nulas) — heading_controller → reflexo"
"/auto_vel",ATENCAO,"0 msgs em 4 s (0 não-nulas) — reflexo → mux (SAÍDA do collision_monitor) — entrada só zero"
"/key_vel",ATENCAO,"0 msgs em 4 s (0 não-nulas) — teclado → mux (só com o robot-key rodando)"
"/compensador_rumo/cmd_vel",ATENCAO,"0 msgs em 4 s (0 não-nulas) — mux → compensador"
"/hoverboard_base_controller/cmd_",ATENCAO,"0 msgs em 4 s (0 não-nulas) — compensador → ATUADOR"
